brand,price,processor brand,processor number,processor year,processor clock speed,processor core count,SSD,drive capacity,RAM,GPU memory,screen size,pixel count,weight,speakers,touchscreen,microphone,webcam
ASUS,234990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,8.0,17.3,3686400.0,2.90,True,True,True,False
ASUS,229990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,8.0,15.6,3686400.0,2.30,True,True,True,False
HP,104091,AMD,7,,3.2,8.0,True,512.0,16,4.0,16.1,2073600.0,2.48,True,True,True,True
Lenovo,87717,AMD,7,2021.0,3.2,8.0,True,512.0,16,4.0,15.6,2073600.0,2.25,True,True,True,True
Lenovo,75990,Intel,5,2020.0,,,True,512.0,16,,14,,,True,True,True,True
Lenovo,78395,Intel,7,2020.0,2.4,4.0,True,512.0,16,,14,2073600.0,1.36,True,True,True,True
Lenovo,29290,Intel,1,,,,True,256.0,4,,15.6,,,False,True,False,True
Lenovo,91308,AMD,7,2021.0,1.8,8.0,True,1024.0,16,,13.3,2073600.0,1.31,True,True,True,True
ASUS,64990,Intel,5,2019.0,2.5,4.0,True,1024.0,8,4.0,15.6,2073600.0,2.30,True,True,True,True
DELL,32999,Intel,1,,3.1,4.0,True,256.0,8,,15.6,2073600.0,1.61,True,True,True,True
DELL,30990,AMD,1,,3.2,2.0,True,256.0,8,,15.6,2073600.0,1.68,True,True,True,True
DELL,149645,Intel,5,2020.0,2.4,8.0,True,512.0,16,,13.4,2073600.0,1.16,True,True,True,True
Lenovo,99219,AMD,7,2021.0,1.9,,True,512.0,16,,14,2073600.0,1.43,True,True,True,True
ASUS,82980,AMD,7,,,,True,512.0,16,4.0,15.6,2073600.0,,False,True,False,False
ASUS,36949,AMD,3,2019.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,129990,AMD,9,2021.0,3.1,8.0,True,1024.0,32,4.0,13.4,2304000.0,1.3,True,True,True,True
MSI,158270,Intel,7,2020.0,4.60,,True,1024.0,16,8.0,15.6,2073600.0,2.9,True,True,True,True
ASUS,47990,Intel,3,2020.0,3,2.0,True,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
DELL,103990,Intel,7,2020.0,2.6,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
DELL,69490,AMD,5,,3.2,8.0,True,512.0,8,4.0,15.6,2073600.0,2.57,True,True,True,True
Avita,21990,Intel,1,,,,True,128.0,4,,14.1,2073600.0,,True,True,True,True
ASUS,74990,Intel,5,2021.0,4.5,8.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,94990,Intel,7,2021.0,3.0,6.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,89990,Intel,5,2021.0,1.7,12.0,True,512.0,16,,14,5184000.0,1.39,True,True,True,True
ASUS,134990,Intel,7,2021.0,2.3,12.0,True,1024.0,16,,14,5184000.0,1.40,True,True,True,True
ASUS,74990,Intel,5,2021.0,4.5,8.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,104990,Intel,7,2021.0,2.1,12.0,True,512.0,16,,14,5184000.0,1.39,True,True,True,True
ASUS,94990,Intel,7,2021.0,4.7,8.0,True,512.0,16,,14,5184000.0,1.50,True,True,True,True
ASUS,114990,Intel,5,2021.0,2.5,12.0,True,512.0,16,,14,5184000.0,1.40,True,True,True,True
DELL,42990,AMD,5,,2.1,4.0,True,256.0,8,,14,2073600.0,1.59,True,True,True,True
ASUS,80500,AMD,7,,,,True,512.0,8,4.0,15.6,2073600.0,,False,True,False,False
ASUS,106990,AMD,9,,,,True,512.0,16,6.0,16.6,2073600.0,,False,True,False,False
ASUS,43430,Intel,5,2019.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,65990,Intel,5,2020.0,,,True,256.0,8,,15.6,777600.0,,False,True,False,False
ASUS,82449,AMD,7,,,,True,512.0,8,4.0,17.3,2073600.0,,False,True,False,False
ASUS,60990,Intel,5,2020.0,2.40,4.0,True,512.0,16,,14,2073600.0,1.40,True,True,True,True
ASUS,47990,Intel,5,2019.0,1.0,4.0,True,512.0,8,,15.6,2073600.0,1.80,True,True,True,True
DELL,138990,Intel,7,2021.0,3.5,14.0,True,1024.0,16,6.0,15.6,3686400.0,2.57,True,True,True,True
DELL,87990,Intel,5,2021.0,3.3,12.0,True,512.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
DELL,127990,Intel,7,2021.0,3.5,14.0,True,512.0,16,6.0,15.6,2073600.0,2.57,True,True,True,True
ASUS,36990,Intel,3,2020.0,3.00,2.0,True,256.0,8,,15.6,1049088.0,1.80,True,True,True,True
DELL,74490,Intel,5,2020.0,2.6,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
DELL,117490,Intel,7,2021.0,3.5,14.0,True,1024.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
DELL,104990,Intel,7,2021.0,3.5,14.0,True,512.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
DELL,69490,Intel,5,2020.0,2.6,8.0,True,512.0,8,4.0,15.6,2073600.0,2.65,True,True,True,True
acer,49990,Intel,5,2020.0,2.40,4.0,True,512.0,8,,15.6,2073600.0,1.65,True,True,True,True
ASUS,50990,Intel,3,2020.0,1.7,2.0,True,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,30990,Intel,3,2019.0,1.2,2.0,False,1024.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,67949,Intel,5,2020.0,,,True,512.0,16,,15.6,2073600.0,,False,True,False,False
HP,64990,Intel,5,2020.0,4.2,4.0,True,512.0,8,2.0,15.6,2073600.0,1.75,True,True,True,True
HP,71999,AMD,7,,2.0,8.0,True,512.0,16,,14,2073600.0,1.41,True,True,True,True
HP,62900,AMD,5,,2.4,6.0,True,512.0,16,,14,2073600.0,1.41,True,True,True,True
ASUS,78900,Intel,5,2020.0,,,True,1024.0,8,4.0,15.6,2073600.0,,False,True,False,False
acer,24990,Intel,1,,2.80,2.0,True,256.0,4,,11.6,1049088.0,1.4,True,True,True,True
acer,23990,Intel,1,,2.80,2.0,True,128.0,4,,11.6,1049088.0,1.4,True,True,True,True
acer,64990,Intel,5,2020.0,2.70,6.0,True,512.0,8,4.0,15.6,2073600.0,2.2,True,True,True,True
ASUS,25990,Intel,1,,1.1,2.0,True,256.0,4,,14,1049088.0,1.60,True,True,True,True
acer,49890,Intel,5,2020.0,2.40,2.0,True,512.0,8,,15.6,2073600.0,1.7,True,True,True,True
acer,109990,Intel,7,2021.0,4.70,14.0,True,512.0,16,4.0,15.6,2073600.0,2.6,True,True,True,True
HP,78190,AMD,5,,3.2,6.0,True,512.0,8,4.0,15.6,2073600.0,1.98,True,True,True,True
HP,129980,Intel,7,2021.0,4.7,14.0,True,1024.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
Lenovo,53990,Intel,3,2020.0,3.00,2.0,True,512.0,8,,15.6,2073600.0,1.9,True,True,True,True
ASUS,44900,AMD,5,2019.0,,,True,512.0,8,,15.6,777600.0,,False,True,False,False
DELL,36890,Intel,1,,1.1,4.0,True,256.0,8,,15.6,1049088.0,1.8,True,True,True,True
ASUS,66500,Intel,5,2020.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,89590,AMD,7,,,,True,512.0,16,4.0,15.6,2073600.0,,False,True,False,False
DELL,68900,AMD,5,,4.00,6.0,True,512.0,16,,16,2304000.0,1.9,True,True,True,True
DELL,92490,Intel,5,2020.0,2.2,,True,512.0,16,4.0,15.6,2073600.0,2.4,True,True,True,True
ASUS,116990,Intel,7,2021.0,3.0,14.0,True,512.0,16,4.0,15.6,2073600.0,2.20,True,True,True,True
ASUS,234990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,8.0,17.3,3686400.0,2.90,True,True,True,False
ASUS,229990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,8.0,15.6,3686400.0,2.30,True,True,True,False
HP,104091,AMD,7,,3.2,8.0,True,512.0,16,4.0,16.1,2073600.0,2.48,True,True,True,True
Lenovo,87717,AMD,7,2021.0,3.2,8.0,True,512.0,16,4.0,15.6,2073600.0,2.25,True,True,True,True
Lenovo,75990,Intel,5,2020.0,,,True,512.0,16,,14,,,True,True,True,True
Lenovo,78395,Intel,7,2020.0,2.4,4.0,True,512.0,16,,14,2073600.0,1.36,True,True,True,True
Lenovo,29290,Intel,1,,,,True,256.0,4,,15.6,,,False,True,False,True
Lenovo,91308,AMD,7,2021.0,1.8,8.0,True,1024.0,16,,13.3,2073600.0,1.31,True,True,True,True
ASUS,64990,Intel,5,2019.0,2.5,4.0,True,1024.0,8,4.0,15.6,2073600.0,2.30,True,True,True,True
DELL,32999,Intel,1,,3.1,4.0,True,256.0,8,,15.6,2073600.0,1.61,True,True,True,True
DELL,30990,AMD,1,,3.2,2.0,True,256.0,8,,15.6,2073600.0,1.68,True,True,True,True
DELL,149645,Intel,5,2020.0,2.4,8.0,True,512.0,16,,13.4,2073600.0,1.16,True,True,True,True
Lenovo,99219,AMD,7,2021.0,1.9,,True,512.0,16,,14,2073600.0,1.43,True,True,True,True
ASUS,82980,AMD,7,,,,True,512.0,16,4.0,15.6,2073600.0,,False,True,False,False
ASUS,36949,AMD,3,2019.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,129990,AMD,9,2021.0,3.1,8.0,True,1024.0,32,4.0,13.4,2304000.0,1.3,True,True,True,True
MSI,158270,Intel,7,2020.0,4.60,,True,1024.0,16,8.0,15.6,2073600.0,2.9,True,True,True,True
ASUS,47990,Intel,3,2020.0,3,2.0,True,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
realme,64990,Intel,5,2020.0,3.2,,True,512.0,16,,14,3110400.0,1.37,False,True,False,False
DELL,103990,Intel,7,2020.0,2.6,8.0,True,512.0,16,4.0,15.6,2073600.0,2.65,True,True,True,True
DELL,69490,AMD,5,,3.2,8.0,True,512.0,8,4.0,15.6,2073600.0,2.57,True,True,True,True
Avita,21990,Intel,1,,,,True,128.0,4,,14.1,2073600.0,,True,True,True,True
DELL,90290,AMD,7,,3.2,8.0,True,512.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
HP,40990,Intel,3,2020.0,3.7,4.0,True,512.0,8,,15.6,2073600.0,1.69,True,True,False,True
DELL,73990,AMD,5,,3.2,8.0,True,512.0,16,4.0,15.6,2073600.0,2.57,True,True,True,True
ASUS,44990,AMD,5,,2.10,,True,512.0,8,,14,2073600.0,1.60,True,True,True,True
ASUS,49990,Intel,3,2020.0,4.1,2.0,True,256.0,8,,14,2073600.0,1.50,True,True,True,True
ASUS,42990,Intel,5,2019.0,1.0,4.0,False,1024.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,24999,Intel,1,,2.8,2.0,True,128.0,4,,11.6,1049088.0,1.26,True,True,True,True
ASUS,29990,Intel,1,,2.8,2.0,True,128.0,4,,11.6,1049088.0,1.40,True,True,True,True
ASUS,64990,AMD,7,,4.3,8.0,True,512.0,16,,15.6,2073600.0,1.80,True,True,True,True
ASUS,63990,Intel,5,2020.0,4.2,4.0,True,512.0,8,,14,2073600.0,1.50,True,True,True,True
ASUS,64990,AMD,7,,4.3,8.0,True,512.0,16,,15.6,2073600.0,1.80,True,True,True,True
ASUS,26990,Intel,1,,1.1,2.0,True,256.0,4,,15.6,1049088.0,1.80,True,True,True,True
ASUS,52990,Intel,3,2020.0,4.1,2.0,True,512.0,8,,14,2073600.0,1.50,True,True,True,True
ASUS,38990,Intel,3,2019.0,1.2,2.0,True,512.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,52990,AMD,7,,2.1,,True,512.0,16,,14,2073600.0,1.60,True,True,True,True
ASUS,34990,Intel,3,2020.0,3.00,2.0,False,1024.0,8,,15.6,1049088.0,1.80,True,True,True,True
ASUS,40990,Intel,3,2020.0,3.00,2.0,True,256.0,8,,15.6,2073600.0,1.80,True,True,True,True
HP,61990,AMD,5,,4.3,6.0,True,512.0,8,,15.6,2073600.0,1.75,True,True,True,True
HP,208190,Intel,9,2020.0,4.9,8.0,True,1024.0,32,6.0,15.6,8294400.0,2.14,True,True,True,True
HP,27490,Intel,1,,2.8,2.0,False,,4,,14,1049088.0,1.49,True,True,True,True
HP,27490,Intel,1,,2.8,2.0,False,,4,,14,1049088.0,1.49,True,True,True,True
HP,163190,Intel,7,2020.0,4.6,8.0,True,1024.0,16,4.0,15.6,8294400.0,2.14,True,True,True,True
HP,54990,AMD,5,,4.3,6.0,True,512.0,8,,14,2073600.0,1.41,True,True,True,True
HP,60190,AMD,5,,4.3,6.0,True,512.0,8,,15.6,2073600.0,1.75,True,True,True,True
HP,60190,AMD,5,,4.3,6.0,True,512.0,8,,15.6,2073600.0,1.75,True,True,True,True
HP,54990,AMD,5,,4.3,6.0,True,512.0,8,,14,2073600.0,1.41,True,True,True,True
HP,163190,Intel,7,2020.0,4.6,8.0,True,1024.0,16,4.0,15.6,8294400.0,2.14,True,True,True,True
DELL,44499,Intel,3,2020.0,4.1,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
ASUS,54890,AMD,7,,2.3,4.0,True,512.0,16,,15.6,2073600.0,1.8,True,True,True,True
ASUS,35988,Intel,3,2020.0,1.7,2.0,True,256.0,4,,15.6,2073600.0,1.80,True,True,True,True
Lenovo,72990,Intel,5,2020.0,3.10,,True,512.0,8,4.0,15.6,2073600.0,2.25,True,True,True,True
HP,55990,Intel,3,2020.0,1.7,4.0,True,512.0,8,,14,2073600.0,1.52,True,True,True,True
Lenovo,77990,AMD,7,,3.2,8.0,True,512.0,16,4.0,15.6,2073600.0,2.25,True,True,True,True
Lenovo,69990,AMD,5,,3.3,,True,512.0,8,4.0,15.6,2073600.0,2.25,True,True,True,True
Lenovo,58990,Intel,3,2020.0,1.7,2.0,True,512.0,8,,14,2073600.0,,True,True,True,True
Lenovo,23990,Intel,1,,1.1,2.0,True,256.0,4,,11.6,1049088.0,,True,True,True,True
HP,87990,Intel,7,2020.0,2.9,4.0,True,512.0,16,,14,2073600.0,1.52,True,True,True,True
Lenovo,57990,AMD,5,,2.1,6.0,True,512.0,8,,14,2073600.0,,True,True,True,True
Lenovo,42990,Intel,3,2020.0,1.7,2.0,True,512.0,8,,14,2073600.0,,True,True,True,True
HP,75190,Intel,5,2020.0,2.5,4.0,True,512.0,16,,14,2073600.0,1.52,True,True,True,True
Lenovo,99990,Intel,7,2020.0,2.8,4.0,True,512.0,16,,14,2073600.0,,True,True,True,True
DELL,46790,AMD,5,,2.1,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
DELL,40990,Intel,3,2019.0,1.2,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
HP,42990,Intel,3,2020.0,3.7,4.0,True,512.0,8,,14,2073600.0,1.46,True,True,True,True
DELL,40990,AMD,3,,2.6,2.0,True,512.0,8,,15.6,2073600.0,1.8,True,True,True,True
DELL,40990,Intel,3,2019.0,1.2,,True,256.0,8,,15.6,2073600.0,1.8,True,True,True,True
HP,155490,Intel,7,2021.0,4.7,14.0,True,1024.0,16,6.0,16.1,2073600.0,2.32,True,True,True,True
ASUS,38990,Intel,3,2019.0,,,True,256.0,4,,14,1049088.0,,False,True,False,False
HP,104490,AMD,7,,4.4,8.0,True,512.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
HP,125500,AMD,7,,3.2,8.0,True,1024.0,16,,16.1,2073600.0,2.32,True,True,True,True
HP,40699,Intel,3,2020.0,,,False,1024.0,8,,15.6,1049088.0,,False,True,False,False
HP,37990,AMD,3,,,,False,1024.0,8,,15.6,1049088.0,,False,True,False,False
ASUS,83990,AMD,7,,4.2,8.0,True,512.0,8,4.0,15.6,2073600.0,2.10,True,True,True,False
ASUS,61986,Intel,5,2019.0,4.5,4.0,True,512.0,8,4.0,15.6,2073600.0,2.30,True,True,True,True
HP,43199,Intel,3,2020.0,,,True,512.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,114990,AMD,7,,4.4,8.0,True,1024.0,16,4.0,14,3686400.0,1.60,True,True,True,False
ASUS,133990,AMD,7,,4.7,8.0,True,1024.0,16,6.0,17.3,2073600.0,2.60,True,True,True,True
HP,32990,Intel,1,,1.10,2.0,True,256.0,8,,14,1049088.0,1.46,True,True,True,True
Lenovo,79998,AMD,7,,1.8,8.0,True,512.0,16,,13.3,2073600.0,1.32,True,True,True,True
ASUS,54100,Intel,1,2019.0,,,False,128.0,4,,13.3,2073600.0,,False,True,False,False
ASUS,95990,Intel,7,2020.0,,,True,512.0,16,4.0,17.3,2073600.0,,False,True,False,False
HP,89251,Intel,5,2020.0,,,True,512.0,8,,15.6,1049088.0,,False,True,False,False
MSI,259990,Intel,7,2021.0,3.0,,True,1024.0,16,8.0,15.6,3686400.0,2.38,True,True,True,True
MSI,179990,Intel,7,2021.0,3.0,,True,1024.0,16,8.0,15.6,3686400.0,2.47,True,True,True,True
acer,144990,Intel,9,2020.0,5.20,8.0,True,1024.0,16,6.0,15.6,2073600.0,2.3,True,True,True,True
Lenovo,47499,Intel,5,2019.0,,,False,1024.0,4,,14,1049088.0,,False,True,False,False
HP,118990,Intel,7,2020.0,4.6,8.0,True,1024.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
HP,116990,Intel,7,2020.0,4.6,8.0,True,1024.0,16,4.0,16.1,2073600.0,2.32,True,True,True,True
ASUS,29940,Intel,1,,1.1,4.0,False,1024.0,4,,15.6,1049088.0,1.8,True,True,True,True
MSI,86990,Intel,7,2020.0,2.3,8.0,True,512.0,8,4.0,15.6,2073600.0,2.25,True,True,True,True
HP,52380,AMD,5,,,,True,512.0,8,,15.6,2073600.0,,False,True,False,False
HP,53499,Intel,3,2019.0,,,True,512.0,8,,14,2073600.0,,False,True,False,False
ASUS,48990,Intel,3,2020.0,3.0,2.0,True,256.0,8,,15.6,2073600.0,1.8,True,True,True,True
ASUS,26800,Intel,1,,1.1,2.0,False,,4,,11.6,1049088.0,1.05,True,True,True,True
ASUS,46800,Intel,3,2020.0,,,True,256.0,8,,15.6,2073600.0,,False,True,False,False
ASUS,61990,AMD,5,,4.0,6.0,True,512.0,16,,15.6,2073600.0,1.80,True,True,True,True
ASUS,61990,AMD,5,,2.1,6.0,True,512.0,16,,15.6,2073600.0,1.80,True,True,True,True
ASUS,21990,Intel,1,,2.8,2.0,False,,4,,11.6,1049088.0,1.05,False,True,True,True
ASUS,31990,Intel,3,2019.0,1.2,2.0,False,1024.0,8,,15.6,2073600.0,1.80,True,True,True,True
ASUS,21990,Intel,1,,2.8,2.0,False,,4,,11.6,1049088.0,1.05,True,True,True,True
ASUS,31990,Intel,1,,3.3,4.0,True,256.0,8,,14,1049088.0,1.30,True,True,True,True
ASUS,114990,Intel,5,2020.0,2.40,4.0,True,512.0,16,2.0,14,2073600.0,1.62,True,True,True,True
ASUS,114990,AMD,7,,4.7,8.0,True,1024.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
ASUS,301990,Intel,9,2021.0,2.5,14.0,True,1024.0,32,16.0,15.6,3686400.0,2.30,True,True,True,False
ASUS,113990,AMD,7,,4.7,8.0,True,512.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
Infinix,50990,Intel,7,2019.0,1.3,4.0,True,512.0,16,0.12,14,2073600.0,1.48,True,True,True,True
ASUS,108990,AMD,7,,4.7,8.0,True,512.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
ASUS,114990,AMD,7,,4.7,8.0,True,1024.0,16,4.0,15.6,2073600.0,2.10,True,True,True,False
Infinix,50990,Intel,7,2019.0,1.3,4.0,True,512.0,16,0.12,14,2073600.0,1.48,True,True,True,True
ASUS,264990,Intel,9,2021.0,2.5,14.0,True,2048.0,32,16.0,15.6,3686400.0,2.30,True,True,True,False
ASUS,99990,AMD,9,,3.3,8.0,True,1024.0,16,4.0,14,5184000.0,1.45,True,True,True,True
ASUS,116500,AMD,9,,3.3,8.0,True,1024.0,8,4.0,14,5184000.0,1.45,True,True,True,True
ASUS,99990,AMD,9,,4.6,8.0,True,1024.0,8,4.0,14,5184000.0,1.45,True,True,True,True
ASUS,162990,AMD,9,,3.3,8.0,True,1024.0,16,4.0,16,9216000.0,1.95,True,True,True,True
ASUS,79990,Intel,5,2020.0,4.2,4.0,True,512.0,16,,13.3,2073600.0,1.14,True,True,True,True
ASUS,134990,AMD,9,,4.6,8.0,True,1024.0,16,,14,5184000.0,1.40,True,True,True,True
